team,avg distance,paint,midrange,threes,wins
MEM2016,11.3732176702143,0.475481481481482,0.298444444444445,0.226,42
MIA2016,11.5688069284754,0.486277777777778,0.281055555555556,0.232666666666667,48
MIL2016,10.0872551928783,0.476176470588235,0.203,0.320764705882353,33
MIN2016,11.8595830833833,0.48575,0.294375,0.22,29
NOP2016,12.4625568181818,0.475904761904762,0.215047619047619,0.309,30
NYK2016,12.9543276212605,0.4175,0.2889375,0.29225,32
OKC2016,11.8921491104208,0.431529411764706,0.245588235294118,0.322470588235294,55
ORL2016,12.500547752809,0.404470588235294,0.281352941176471,0.314411764705882,35
PHI2016,12.4149266734427,0.501555555555555,0.213333333333333,0.285277777777778,10
PHO2016,12.5718865773725,0.490391304347826,0.229217391304348,0.280347826086956,23
POR2016,13.2808522727273,0.4611875,0.257,0.2826875,44
